# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
-11.2945 14.0917 0 0.731734 -1.1308 199.995 0 -13 -2 1 0 1 0.0742529 -0.077735 -1.9919 0 0 0 
-11.2894 14.0922 0.4995 0.745059 -1.11857 199.995 0.0018845 -13 -2 1 0 1 0.074312 -0.077872 -1.98611 0 0 0 
-11.2894 14.0922 0.5005 0.745085 -1.11855 199.995 0.00188827 -13 -2 1 0 1 0.0743121 -0.0778723 -1.9861 0 0 0 
-10.2584 14.2041 100.494 3.38893 1.60917 199.965 0.379139 -13 -2 1 0 1 0.0786667 -0.0972284 -0.689682 0 0 0 
-7.8137 15.5952 200.453 6.54736 3.69563 199.859 0.75639 -13 -2 1 0 1 0.061686 -0.109286 0.714143 0 0 0 
-3.55078 17.4777 300.342 10.5861 3.2567 199.693 1.13364 -13 -2 1 0 1 0.0295086 -0.104545 2.00417 0 0 0 
2.63429 18.1941 400.145 13.7267 -1.0187 199.526 1.51089 -13 -2 1 0 1 0.00201654 -0.0666485 2.93689 0 0 0 
9.47759 16.082 499.884 12.7964 -7.42688 199.452 1.88814 -13 -2 1 0 1 0.0115259 -0.00671425 3.28243 0 0 0 
14.7075 11.189 599.622 7.7009 -11.4055 199.526 2.26539 -13 -2 1 0 1 0.0595623 0.0308994 2.93817 0 0 0 
17.1617 5.47233 699.426 2.45025 -10.7763 199.694 2.64264 -13 -2 1 0 1 0.106713 0.0256168 2.00632 0 0 0 
17.6614 0.861349 799.316 0.0906834 -7.44929 199.861 3.0199 -13 -2 1 0 1 0.127233 6.84725e-05 0.716476 0 0 0 
17.6966 -1.90343 899.276 0.348818 -3.61444 199.967 3.39715 -13 -2 1 0 1 0.125468 -0.0203407 -0.691218 0 0 0 
18.1374 -2.77315 999.27 1.37219 0.105364 199.995 3.7744 -13 -2 1 0 1 0.106421 -0.0256664 -1.98563 0 0 0 
18.8862 -1.87973 1099.26 1.34565 3.29149 199.968 4.15165 -13 -2 1 0 1 0.0644122 -0.0185522 -2.92519 0 0 0 
19.2193 0.204752 1199.24 -0.180947 4.60874 199.947 4.5289 -13 -2 1 0 1 0.000547184 -0.0133301 -3.27667 0 0 0 
18.7135 2.25524 1299.22 -1.65993 3.16382 199.968 4.90615 -13 -2 1 0 1 -0.0629067 -0.0197451 -2.93561 0 0 0 
17.8322 3.06893 1399.21 -1.58571 -0.0694796 199.994 5.2834 -13 -2 1 0 1 -0.10411 -0.0273337 -2.00398 0 0 0 
17.3078 2.11906 1499.2 -0.474513 -3.74821 199.964 5.66065 -13 -2 1 0 1 -0.122547 -0.0218441 -0.713618 0 0 0 
17.2251 -0.691513 1599.16 -0.157694 -7.49488 199.859 6.0379 -13 -2 1 0 1 -0.124291 -0.00111925 0.693688 0 0 0 
16.7067 -5.3031 1699.05 -2.45592 -10.7386 199.696 6.41515 -13 -2 1 0 1 -0.104464 0.0247754 1.98679 0 0 0 
