# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
129.154 -44.3812 4349.71 49.2233 -16.8185 193.117 16.599 -13 -2 1 0 1 -0.154601 -0.00995905 -0.594139 0 0 0 
153.852 -52.5365 4446.27 49.5101 -15.892 193.122 16.9763 -13 -2 1 0 1 -0.093108 0.031794 -0.451928 0 0 0 
178.633 -60.3522 4542.83 49.5952 -15.4317 193.138 17.3535 -13 -2 1 0 1 -0.0793286 0.0268016 -0.348475 0 0 0 
203.433 -68.0148 4639.41 49.5929 -15.2537 193.153 17.7308 -13 -2 1 0 1 -0.0670827 0.0224281 -0.272255 0 0 0 
206.327 -68.9046 4650.68 49.5896 -15.2453 193.154 17.7748 -13 -2 1 0 1 -0.0657814 0.0219683 -0.264787 0 0 0 

# Event -1 Track 1
-11.2945 14.0917 0 0.731734 -1.1308 199.995 0 -13 -1 1 0 1 -0.100274 0.104192 4.22421 0 0 0 
-12.117 12.8182 99.9851 -4.3386 -3.58979 199.921 0.377251 -13 -1 1 0 1 -0.121612 0.124673 3.63901 0 0 0 
-15.5632 10.926 199.906 -8.9472 -3.58815 199.768 0.754502 -13 -1 1 0 1 -0.101313 0.0711255 2.53281 0 0 0 
-20.8551 9.01174 299.746 -12.1054 -4.57009 199.581 1.13175 -13 -1 1 0 1 -0.155772 0.0673108 1.1176 0 0 0 
-27.4837 5.72874 399.469 -14.0748 -9.26707 199.289 1.509 -13 -1 1 0 1 -0.201659 0.0420341 -0.377501 0 0 0 
-34.3246 -0.907563 499.006 -12.365 -17.7372 198.828 1.88625 -13 -1 1 0 1 -0.2097 -0.00554459 -1.74113 0 0 0 
-38.8136 -12.016 598.272 -4.99977 -26.1567 198.219 2.26351 -13 -1 1 0 1 -0.141863 0.0522891 -2.74061 0 0 0 
-38.783 -26.0181 697.275 5.28897 -28.4179 197.9 2.64076 -13 -1 1 0 1 -0.0106336 0.112272 -3.15002 0 0 0 
-34.0758 -39.0266 796.304 12.3463 -22.551 198.341 3.01801 -13 -1 1 0 1 0.106875 0.221463 -2.86373 0 0 0 
-27.7662 -48.0987 895.683 11.86 -13.8009 199.17 3.39526 -13 -1 1 0 1 0.156543 0.271175 -1.96801 0 0 0 
-23.4582 -53.2087 995.449 4.34492 -7.14297 199.825 3.77251 -13 -1 1 0 1 0.160853 0.364852 -0.692621 0 0 0 
-24.0547 -55.5306 1095.4 -6.99232 -2.07004 199.867 4.14976 -13 -1 1 0 1 0.166591 0.384577 0.712851 0 0 0 
-30.299 -54.7852 1195.19 -17.3363 5.87338 199.161 4.52701 -13 -1 1 0 1 0.177514 0.320972 2.02234 0 0 0 
-40.2074 -48.7597 1294.49 -20.8405 19.185 197.984 4.90426 -13 -1 1 0 1 0.208028 0.238113 2.98802 0 0 0 
-49.1439 -35.5482 1393.19 -12.823 32.6035 196.908 5.28151 -13 -1 1 0 1 0.0940337 0.0913689 3.36338 0 0 0 
-51.6822 -18.0295 1491.58 2.98247 35.2086 196.854 5.65876 -13 -1 1 0 1 -0.0926313 0.0143543 3.04818 0 0 0 
-46.7603 -2.35668 1590.19 15.6228 25.8991 197.7 6.03601 -13 -1 1 0 1 -0.265092 -0.0133604 2.13767 0 0 0 
-37.5822 7.44657 1689.27 19.6707 13.7666 198.554 6.41326 -13 -1 1 0 1 -0.260163 0.0515488 0.859464 0 0 0 
-28.0566 12.2388 1788.69 17.886 6.3911 199.096 6.79052 -13 -1 1 0 1 -0.197338 0.0860827 -0.549615 0 0 0 
-19.9768 14.7739 1888.33 14.3 4.55751 199.436 7.16777 -13 -1 1 0 1 -0.120389 0.0890338 -1.87149 0 0 0 
-13.8751 17.4949 1988.11 9.92436 7.28972 199.621 7.54502 -13 -1 1 0 1 0.0384135 0.0656876 -2.86836 0 0 0 
-10.357 22.5868 2087.91 3.85348 13.054 199.536 7.92227 -13 -1 1 0 1 0.114272 0.0107549 -3.30473 0 0 0 
-10.0872 30.2447 2187.61 -2.51297 17.1511 199.247 8.29952 -13 -1 1 0 1 0.132756 -0.0887 -3.0586 0 0 0 
-12.2556 39.2954 2287.17 -5.22592 18.4687 199.077 8.67677 -13 -1 1 0 1 0.067404 -0.216118 -2.20399 0 0 0 
-14.2223 48.8028 2386.7 -1.52578 19.9733 198.994 9.05402 -13 -1 1 0 1 0.0968401 -0.332301 -0.957262 0 0 0 
-12.6594 59.5183 2486.1 8.90897 22.7968 198.497 9.43127 -13 -1 1 0 1 0.0880566 -0.413998 0.43619 0 0 0 
-4.27212 70.934 2585.06 25.4082 21.5334 197.207 9.80852 -13 -1 1 0 1 0.0256416 -0.42575 1.75791 0 0 0 
12.8602 79.1835 2683.19 42.5813 9.59651 195.179 10.1858 -13 -1 1 0 1 0.0129883 -0.36308 2.77538 0 0 0 
36.6216 78.9356 2780.27 49.6701 -11.4515 193.395 10.563 -13 -1 1 0 1 0.0638067 -0.127628 3.24167 0 0 0 
59.525 68.3053 2876.98 39.4251 -29.0639 193.91 10.9403 -13 -1 1 0 1 0.250794 0.124505 3.01167 0 0 0 
74.6711 52.6273 2974.54 20.8099 -30.9346 196.494 11.3175 -13 -1 1 0 1 0.424786 0.299385 2.13032 0 0 0 
81.0359 39.7579 3073.46 6.00377 -18.7359 199.03 11.6948 -13 -1 1 0 1 0.585229 0.287126 0.804724 0 0 0 
81.7556 34.8728 3173.3 -2.63076 -0.531445 199.982 12.072 -13 -1 1 0 1 0.623647 0.266016 -0.716441 0 0 0 
78.1469 38.8745 3273.11 -12.7192 15.4957 198.993 12.4493 -13 -1 1 0 1 0.546665 0.271941 -2.2149 0 0 0 
67.9515 48.4595 3372.1 -28.489 20.0592 196.942 12.8265 -13 -1 1 0 1 0.351152 0.169822 -3.45547 0 0 0 
50.4455 55.8087 3470.24 -39.6893 6.42719 195.917 13.2038 -13 -1 1 0 1 0.117754 0.0121976 -4.1959 0 0 0 
31.1594 53.1189 3568.26 -34.0625 -17.3756 196.311 13.581 -13 -1 1 0 1 -0.0202279 -0.145015 -4.32099 0 0 0 
19.1207 39.7586 3666.55 -12.7977 -33.7364 196.718 13.9583 -13 -1 1 0 1 -0.0530944 -0.110402 -3.93607 0 0 0 
18.4789 21.7341 3764.86 9.70327 -36.3567 196.428 14.3355 -13 -1 1 0 1 -0.0669432 -0.0787358 -3.27695 0 0 0 
27.7335 4.77023 3862.94 25.9891 -30.78 195.901 14.7128 -13 -1 1 0 1 -0.0964611 -0.0165916 -2.56695 0 0 0 
43.2352 -8.81867 3960.78 34.9843 -23.693 195.486 15.09 -13 -1 1 0 1 -0.124025 0.0252975 -1.93799 0 0 0 
61.9268 -19.1991 4058.46 39.3138 -18.275 195.245 15.4673 -13 -1 1 0 1 -0.185948 -0.00877845 -1.43762 0 0 0 
82.5913 -27.8106 4155.92 43.2743 -16.571 194.558 15.8445 -13 -1 1 0 1 -0.214281 -0.0376885 -1.06316 0 0 0 
105.114 -36.0385 4253 46.7135 -16.5058 193.766 16.2218 -13 -1 1 0 1 -0.20238 -0.0393731 -0.790615 0 0 0 
129.154 -44.3812 4349.71 49.2233 -16.8185 193.117 16.599 -13 -1 1 0 1 -0.154601 -0.00995905 -0.594139 0 0 0 
153.852 -52.5365 4446.27 49.5101 -15.892 193.122 16.9763 -13 -1 1 0 1 -0.093108 0.031794 -0.451928 0 0 0 
